recv_tsec,recv_tnsec,venue,stream_kind,shard_id,conn_epoch,conn_seq,symbol,payload_json
1780751797,250518000,spot,depth_diff,0,0,10,BTCUSDT,"{""E"":1780751797214,""U"":95191803828,""a"":[[""60944.51000000"",""1.19901000""],[""60944.52000000"",""0.00044000""],[""60945.61000000"",""0.08045000""],[""60945.72000000"",""0.00009000""],[""60945.73000000"",""0.03761000""],[""60946.34000000"",""0.05641000""],[""60946.88000000"",""0.00000000""],[""60955.22000000"",""0.05230000""],[""60955.33000000"",""0.05221000""],[""60981.08000000"",""0.00000000""]],""b"":[[""60944.50000000"",""0.68656000""],[""60943.32000000"",""0.00009000""],[""60943.31000000"",""0.00027000""],[""60942.13000000"",""0.00000000""],[""60942.12000000"",""0.00027000""],[""60942.03000000"",""0.04130000""],[""60941.98000000"",""0.00906000""],[""60941.80000000"",""0.00018000""],[""60940.94000000"",""0.00018000""],[""60940.93000000"",""0.05258000""],[""60940.55000000"",""0.00009000""],[""60940.54000000"",""0.07110000""],[""60940.26000000"",""0.11257000""],[""60939.43000000"",""0.06800000""],[""60938.75000000"",""0.12178000""],[""60938.40000000"",""0.27300000""],[""60937.70000000"",""0.02000000""],[""60934.35000000"",""0.00000000""],[""60886.01000000"",""0.00000000""],[""60824.67000000"",""0.00000000""],[""54850.05000000"",""0.00510000""],[""48755.60000000"",""0.00000000""]],""e"":""depthUpdate"",""s"":""BTCUSDT"",""u"":95191803907}"
1780751797,349889000,spot,depth5,0,0,11,BTCUSDT,"{""asks"":[[""60944.51000000"",""1.21959000""],[""60944.52000000"",""0.00044000""],[""60944.53000000"",""0.00017000""],[""60945.02000000"",""0.00040000""],[""60945.11000000"",""0.00018000""]],""bids"":[[""60944.50000000"",""0.68557000""],[""60944.49000000"",""0.00107000""],[""60944.48000000"",""0.00017000""],[""60944.40000000"",""0.00009000""],[""60943.97000000"",""0.00009000""]],""lastUpdateId"":95191803987}"
1780751797,349925000,spot,depth_diff,0,0,12,BTCUSDT,"{""E"":1780751797314,""U"":95191803908,""a"":[[""60944.51000000"",""1.21959000""],[""60944.52000000"",""0.00044000""],[""60945.61000000"",""0.08045000""],[""60945.73000000"",""0.03779000""],[""60946.00000000"",""0.00618000""],[""60946.34000000"",""0.05659000""],[""60947.35000000"",""0.01631000""],[""60947.41000000"",""0.05249000""],[""60948.00000000"",""0.16769000""],[""60950.24000000"",""0.00000000""],[""60952.62000000"",""0.00000000""],[""60954.03000000"",""0.05221000""],[""60957.60000000"",""0.05221000""],[""60957.92000000"",""0.05221000""],[""60961.14000000"",""0.00400000""],[""60962.39000000"",""0.00000000""],[""60968.89000000"",""0.00431000""],[""77800.21000000"",""0.00019000""],[""81885.39000000"",""0.00052000""]],""b"":[[""60944.50000000"",""0.68557000""],[""60943.31000000"",""0.00009000""],[""60942.38000000"",""0.00000000""],[""60942.37000000"",""0.00018000""],[""60942.12000000"",""0.05006000""],[""60942.03000000"",""0.04130000""],[""60941.99000000"",""0.00018000""],[""60941.98000000"",""0.00924000""],[""60941.80000000"",""0.00000000""],[""60940.26000000"",""0.11275000""],[""60936.71000000"",""0.00048000""],[""60935.86000000"",""0.00069000""],[""60934.37000000"",""0.05221000""],[""60926.35000000"",""0.00000000""],[""60925.15000000"",""0.00400000""],[""60890.19000000"",""0.00335000""],[""60860.59000000"",""0.31192000""],[""60846.45000000"",""0.00000000""],[""60828.43000000"",""0.00134000""],[""54850.05000000"",""0.00510000""]],""e"":""depthUpdate"",""s"":""BTCUSDT"",""u"":95191803987}"
1780751797,449727000,spot,depth5,0,0,13,BTCUSDT,"{""asks"":[[""60944.51000000"",""1.21950000""],[""60944.52000000"",""0.00035000""],[""60944.53000000"",""0.00017000""],[""60945.02000000"",""0.00040000""],[""60945.11000000"",""0.00018000""]],""bids"":[[""60944.50000000"",""0.68521000""],[""60944.49000000"",""0.00098000""],[""60944.48000000"",""0.00017000""],[""60944.40000000"",""0.00009000""],[""60943.97000000"",""0.00009000""]],""lastUpdateId"":95191804038}"
1780751797,449773000,spot,depth_diff,0,0,14,BTCUSDT,"{""E"":1780751797414,""U"":95191803988,""a"":[[""60944.51000000"",""1.21950000""],[""60944.52000000"",""0.00035000""],[""60968.81000000"",""0.00200000""],[""60970.17000000"",""0.00000000""],[""60981.08000000"",""0.00615000""],[""61051.81000000"",""0.00000000""],[""61052.05000000"",""0.08590000""]],""b"":[[""60944.50000000"",""0.68521000""],[""60944.49000000"",""0.00098000""],[""60943.32000000"",""0.00000000""],[""60943.31000000"",""0.00000000""],[""60943.22000000"",""0.01622000""],[""60942.71000000"",""0.00009000""],[""60942.37000000"",""0.00000000""],[""60942.13000000"",""0.00018000""],[""60942.12000000"",""0.05024000""],[""60941.99000000"",""0.00000000""],[""60921.40000000"",""0.00000000""],[""60920.04000000"",""0.00200000""],[""60907.93000000"",""0.01096000""],[""60793.83000000"",""0.00000000""],[""60787.71000000"",""0.00972000""],[""54850.05000000"",""0.00510000""]],""e"":""depthUpdate"",""s"":""BTCUSDT"",""u"":95191804038}"
1780751797,549917000,spot,depth5,0,0,15,BTCUSDT,"{""asks"":[[""60944.51000000"",""1.23118000""],[""60944.52000000"",""0.00035000""],[""60944.53000000"",""0.00017000""],[""60944.65000000"",""0.00018000""],[""60944.66000000"",""0.17137000""]],""bids"":[[""60944.50000000"",""0.36626000""],[""60944.49000000"",""0.00098000""],[""60944.48000000"",""0.00017000""],[""60944.40000000"",""0.00009000""],[""60943.97000000"",""0.00009000""]],""lastUpdateId"":95191804114}"
1780751797,550064000,spot,depth_diff,0,0,16,BTCUSDT,"{""E"":1780751797514,""U"":95191804039,""a"":[[""60944.51000000"",""1.23118000""],[""60944.65000000"",""0.00018000""],[""60944.66000000"",""0.17137000""],[""60945.72000000"",""0.00000000""],[""60946.88000000"",""0.04073000""],[""60948.00000000"",""0.00600000""],[""60953.06000000"",""0.00000000""],[""60956.64000000"",""0.00009000""],[""60963.78000000"",""0.59078000""],[""60966.34000000"",""0.00000000""],[""60973.14000000"",""1.62440000""],[""60980.71000000"",""0.00000000""],[""60981.08000000"",""0.00000000""],[""61183.67000000"",""0.00000000""]],""b"":[[""60944.50000000"",""0.36626000""],[""60943.23000000"",""0.00000000""],[""60943.22000000"",""0.00018000""],[""60942.13000000"",""0.00000000""],[""60942.12000000"",""0.00027000""],[""60941.99000000"",""0.00000000""],[""60941.98000000"",""0.00018000""],[""60941.28000000"",""0.00153000""],[""60940.55000000"",""0.00018000""],[""60940.54000000"",""0.00018000""],[""60940.27000000"",""0.00018000""],[""60940.26000000"",""0.05331000""],[""60939.44000000"",""0.00009000""],[""60939.07000000"",""0.00000000""],[""60938.76000000"",""0.00000000""],[""60938.45000000"",""0.07092000""],[""60938.07000000"",""0.00000000""],[""60937.70000000"",""0.00000000""],[""60936.96000000"",""0.00000000""],[""60936.29000000"",""0.05245000""],[""60934.99000000"",""0.00286000""],[""60934.39000000"",""0.05221000""],[""60934.38000000"",""1.77082000""],[""60934.37000000"",""0.00000000""],[""60934.36000000"",""0.00000000""],[""60934.18000000"",""0.00820000""],[""60934.17000000"",""0.00000000""],[""60933.89000000"",""0.02000000""],[""60932.25000000"",""0.00009000""],[""60931.78000000"",""0.00000000""],[""60929.56000000"",""1.77082000""],[""60929.55000000"",""0.00000000""],[""60928.35000000"",""0.00000000""],[""60922.21000000"",""0.00000000""],[""60914.96000000"",""0.00000000""],[""60905.63000000"",""0.59134000""],[""60890.29000000"",""1.62661000""],[""54850.05000000"",""0.00510000""],[""48755.60000000"",""0.00041000""]],""e"":""depthUpdate"",""s"":""BTCUSDT"",""u"":95191804114}"
1780751797,649647000,spot,depth5,0,0,17,BTCUSDT,"{""asks"":[[""60944.51000000"",""1.23119000""],[""60944.52000000"",""0.00035000""],[""60944.53000000"",""0.00017000""],[""60944.66000000"",""0.00018000""],[""60945.02000000"",""0.00040000""]],""bids"":[[""60944.50000000"",""0.36626000""],[""60944.49000000"",""0.00098000""],[""60944.48000000"",""0.00017000""],[""60944.40000000"",""0.00009000""],[""60943.97000000"",""0.00009000""]],""lastUpdateId"":95191804206}"
1780751797,649686000,spot,depth_diff,0,0,18,BTCUSDT,"{""E"":1780751797614,""U"":95191804115,""a"":[[""60944.51000000"",""1.23119000""],[""60944.65000000"",""0.00000000""],[""60944.66000000"",""0.00018000""],[""60945.72000000"",""0.00009000""],[""60946.34000000"",""0.05659000""],[""60946.89000000"",""0.05231000""],[""60947.60000000"",""0.04000000""],[""60952.27000000"",""2.29055000""],[""60954.03000000"",""0.00000000""],[""60956.56000000"",""0.00000000""],[""60957.60000000"",""0.00000000""],[""60957.92000000"",""0.00000000""],[""60961.34000000"",""0.00200000""],[""60962.79000000"",""0.00016000""],[""60963.01000000"",""0.00000000""],[""60974.84000000"",""0.00000000""],[""60981.08000000"",""0.00016000""],[""60993.12000000"",""0.00000000""],[""60999.36000000"",""0.00016000""],[""61011.41000000"",""0.00000000""],[""61017.64000000"",""0.00033000""],[""61029.69000000"",""0.00000000""],[""61035.93000000"",""0.00016000""],[""85431.80000000"",""0.00057000""]],""b"":[[""60944.50000000"",""0.36626000""],[""60944.49000000"",""0.00098000""],[""60943.22000000"",""0.00000000""],[""60942.12000000"",""0.00009000""],[""60942.03000000"",""0.00018000""],[""60941.98000000"",""0.00000000""],[""60940.93000000"",""0.05249000""],[""60940.55000000"",""0.00000000""],[""60940.54000000"",""0.00000000""],[""60939.44000000"",""0.00018000""],[""60939.43000000"",""0.06818000""],[""60938.78000000"",""0.00009000""],[""60938.77000000"",""0.05258000""],[""60938.75000000"",""0.12205000""],[""60936.78000000"",""0.00048000""],[""60926.43000000"",""0.00000000""],[""60926.22000000"",""0.00016000""],[""60924.85000000"",""0.00200000""],[""60919.99000000"",""0.00586000""],[""60907.93000000"",""0.01112000""],[""60901.71000000"",""0.00000000""],[""60889.65000000"",""0.00016000""],[""60883.43000000"",""0.00000000""],[""60871.37000000"",""0.00016000""],[""60865.14000000"",""0.00000000""],[""60853.08000000"",""0.00016000""],[""60846.86000000"",""0.00000000""],[""54850.05000000"",""0.00510000""],[""48755.60000000"",""0.00000000""]],""e"":""depthUpdate"",""s"":""BTCUSDT"",""u"":95191804206}"
1780751797,668357000,spot,trade,0,0,19,BTCUSDT,"{""E"":1780751797632,""M"":true,""T"":1780751797632,""e"":""trade"",""m"":true,""p"":""60944.50000000"",""q"":""0.02595000"",""s"":""BTCUSDT"",""t"":6378737278}"
1780751797,749605000,spot,depth5,0,0,20,BTCUSDT,"{""asks"":[[""60944.51000000"",""1.23119000""],[""60944.52000000"",""0.00035000""],[""60944.53000000"",""0.00017000""],[""60945.02000000"",""0.00040000""],[""60945.11000000"",""0.00018000""]],""bids"":[[""60944.50000000"",""0.34013000""],[""60944.49000000"",""0.00080000""],[""60944.48000000"",""0.00017000""],[""60944.40000000"",""0.00009000""],[""60943.97000000"",""0.00009000""]],""lastUpdateId"":95191804249}"
1780751797,749741000,spot,depth_diff,0,0,21,BTCUSDT,"{""E"":1780751797714,""U"":95191804207,""a"":[[""60944.51000000"",""1.23119000""],[""60944.66000000"",""0.00000000""],[""60946.88000000"",""0.04091000""],[""60951.76000000"",""0.00000000""],[""60951.77000000"",""0.16408000""],[""60965.62000000"",""0.00400000""],[""60968.18000000"",""0.00000000""]],""b"":[[""60944.50000000"",""0.34013000""],[""60944.49000000"",""0.00080000""],[""60942.04000000"",""0.00000000""],[""60942.03000000"",""0.00000000""],[""60938.78000000"",""0.00018000""],[""60938.76000000"",""0.00009000""],[""60938.27000000"",""0.22320000""],[""60937.77000000"",""0.10541000""],[""60935.82000000"",""0.00000000""],[""60919.90000000"",""0.00000000""],[""60917.49000000"",""0.00400000""],[""60784.37000000"",""0.09810000""],[""54850.05000000"",""0.00510000""],[""54850.00000000"",""0.21232000""]],""e"":""depthUpdate"",""s"":""BTCUSDT"",""u"":95191804249}"
1780751797,773116000,spot,trade,0,0,22,BTCUSDT,"{""E"":1780751797738,""M"":true,""T"":1780751797737,""e"":""trade"",""m"":false,""p"":""60944.51000000"",""q"":""0.00023000"",""s"":""BTCUSDT"",""t"":6378737279}"
1780751797,825238000,spot,trade,0,0,23,BTCUSDT,"{""E"":1780751797790,""M"":true,""T"":1780751797789,""e"":""trade"",""m"":true,""p"":""60944.50000000"",""q"":""0.00025000"",""s"":""BTCUSDT"",""t"":6378737280}"
1780751797,849563000,spot,depth5,0,0,24,BTCUSDT,"{""asks"":[[""60944.51000000"",""1.23096000""],[""60944.52000000"",""0.00035000""],[""60944.53000000"",""0.00017000""],[""60945.02000000"",""0.00040000""],[""60945.11000000"",""0.00018000""]],""bids"":[[""60944.50000000"",""0.33934000""],[""60944.49000000"",""0.00080000""],[""60944.48000000"",""0.00017000""],[""60944.40000000"",""0.00009000""],[""60943.97000000"",""0.00009000""]],""lastUpdateId"":95191804273}"
1780751797,849723000,spot,depth_diff,0,0,25,BTCUSDT,"{""E"":1780751797814,""U"":95191804250,""a"":[[""60944.51000000"",""1.23096000""],[""60955.33000000"",""0.00000000""],[""60968.89000000"",""0.01046000""],[""86170.86000000"",""0.00028000""]],""b"":[[""60944.50000000"",""0.33934000""],[""60942.00000000"",""0.00136000""],[""60941.28000000"",""0.00000000""],[""60938.45000000"",""0.07110000""],[""60938.40000000"",""0.27318000""],[""60938.29000000"",""0.05258000""],[""54850.05000000"",""0.00510000""],[""48756.00000000"",""0.00609000""]],""e"":""depthUpdate"",""s"":""BTCUSDT"",""u"":95191804273}"
1780751797,949834000,spot,depth5,0,0,26,BTCUSDT,"{""asks"":[[""60944.51000000"",""1.23096000""],[""60944.52000000"",""0.00035000""],[""60944.53000000"",""0.00017000""],[""60945.02000000"",""0.00040000""],[""60945.11000000"",""0.00018000""]],""bids"":[[""60944.50000000"",""0.35564000""],[""60944.49000000"",""0.00080000""],[""60944.48000000"",""0.00017000""],[""60944.40000000"",""0.00009000""],[""60943.97000000"",""0.00009000""]],""lastUpdateId"":95191804288}"
