tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780751796,850254000,1,1,P,N,6094450000000,6094449000000,6094448000000,6094441000000,6094440000000,100640000,116000,17000,18000,5257000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,130462000,152000,17000,40000,18000
1780751796,949971000,2,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,69327000,116000,17000,27000,18000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,132373000,80000,17000,40000,18000
1780751797,49676000,3,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,79798000,107000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,126439000,98000,17000,40000,18000
1780751797,149252000,4,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,111209000,107000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,92598000,89000,17000,40000,18000
1780751797,250480000,5,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,68656000,107000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,119901000,44000,17000,40000,18000
1780751797,349889000,6,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,68557000,107000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,121959000,44000,17000,40000,18000
1780751797,449727000,7,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,68521000,98000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,121950000,35000,17000,40000,18000
1780751797,549917000,8,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,36626000,98000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094465000000,6094466000000,123118000,35000,17000,18000,17137000
1780751797,649647000,9,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,36626000,98000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094466000000,6094502000000,123119000,35000,17000,18000,40000
1780751797,749605000,10,1,P,N,6094450000000,6094449000000,6094448000000,6094440000000,6094397000000,34013000,80000,17000,9000,9000,6094451000000,6094452000000,6094453000000,6094502000000,6094511000000,123119000,35000,17000,40000,18000
